"File","Lines"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Deals.html","844"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\HealthBeauty.html","560"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Products.html","550"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Product3.html","538"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Product4.html","538"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Product5.html","538"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Product2.html","537"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Categories.html","424"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\About.html","408"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Fashion.html","371"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Electronics.html","371"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Contact.html","325"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\HomeGarden.html","292"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Register.html","236"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\index.html","149"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Login.html","134"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\checkout.html","46"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\cart.html","40"
