"Path","Lines"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\About.html","377"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Categories.html","419"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Contact.html","246"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Deals.html","1202"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Electronics.html","414"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\About.css","1191"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\Categorie.css","417"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\contact.css","642"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\Deal.css","9"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\Electronics.css","725"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\Fashion.css","780"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\HealthBeauty.css","654"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\HomeGarden.css","593"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\Login.css","450"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\Product.css","609"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\Register.css","591"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\Style.css","1198"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Fashion.html","418"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\HealthBeauty.html","469"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\HomeGarden.html","361"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\index.html","435"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Login.html","126"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Product2.html","1072"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Product3.html","928"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Product4.html","925"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Product5.html","931"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Products.html","1141"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Register.html","173"
