"Path","Lines"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\About.html","491"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Categories.html","580"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Contact.html","362"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Deals.html","1354"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Electronics.html","547"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\About.css","1191"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\Categorie.css","417"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\contact.css","642"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\Deal.css","9"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\Electronics.css","725"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\Fashion.css","780"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\HealthBeauty.css","654"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\HomeGarden.css","593"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\Login.css","450"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\Product.css","609"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\Register.css","591"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\External_Css\Style.css","1198"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Fashion.html","537"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\HealthBeauty.html","624"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\HomeGarden.html","473"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\index.html","563"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\js\main.js","47"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Login.html","163"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Product2.html","1311"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Product3.html","1259"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Product4.html","1254"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Product5.html","1275"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Products.html","1411"
"C:\Users\VICTUS\Documents\NetBeansProjects\HTML\public_html\NexShop Ecommerce\Register.html","265"
